dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
6.875,352.8,5.93,11.3,70.0,70,osm,48.88483,12.96631
6.9,354.3,6.03,14.81,70.0,70,osm,48.88505,12.96638
6.925,355.8,6.13,16.14,70.0,70,osm,48.88527,12.96647
6.95,357.4,6.23,17.28,70.0,70,osm,48.88548,12.96659
6.975,358.9,6.32,20.04,70.0,70,osm,48.88568,12.96674
7.0,360.5,6.39,18.49,70.0,70,osm,48.88587,12.96691
7.025,362.1,6.41,15.46,70.0,70,osm,48.88606,12.9671
7.05,363.8,6.41,11.81,70.0,70,osm,48.88623,12.96732
7.075,365.5,6.39,11.5,70.0,70,osm,48.88639,12.96756
7.1,367.2,6.39,9.2,70.0,70,osm,48.88655,12.9678
7.125,368.8,6.39,11.44,70.0,70,osm,48.88671,12.96804
7.15,370.4,6.39,18.53,70.0,70,osm,48.88688,12.96827
7.175,372.0,6.37,21.96,70.0,70,osm,48.88705,12.96848
7.2,373.5,6.31,26.44,70.0,70,osm,48.88724,12.96867
7.225,375.0,6.25,29.4,70.0,70,osm,48.88745,12.9688
7.25,376.5,6.16,26.45,70.0,70,osm,48.88766,12.9689
7.275,378.1,6.07,20.2,70.0,70,osm,48.88789,12.96896
7.3,379.7,5.97,17.08,70.0,70,osm,48.88811,12.96897
7.325,381.2,5.88,17.92,70.0,70,osm,48.88834,12.96896
7.35,382.7,5.78,17.28,70.0,70,osm,48.88856,12.96897
7.375,384.2,5.68,21.42,70.0,70,osm,48.88878,12.96898
7.4,385.7,5.57,26.14,70.0,70,osm,48.889,12.96905
7.425,387.0,5.44,33.34,70.0,70,osm,48.88922,12.96916
7.45,388.4,5.34,29.31,70.0,70,osm,48.88942,12.9693
7.475,389.6,5.25,32.64,70.0,70,osm,48.88961,12.96949
7.5,390.9,5.18,35.55,67.8,70,osm,48.88977,12.96973
7.525,392.0,5.13,32.14,70.0,70,osm,48.88992,12.96998
7.55,393.2,5.12,28.9,70.0,70,osm,48.89003,12.97028
7.575,394.4,5.15,26.11,70.0,70,osm,48.89011,12.9706
7.6,395.7,5.21,19.43,70.0,70,osm,48.89017,12.97093
7.625,396.9,5.3,10.57,70.0,70,osm,48.89021,12.97126
7.65,398.3,5.4,8.9,70.0,70,osm,48.89025,12.9716
7.675,399.6,5.52,6.48,70.0,70,osm,48.89027,12.97194
7.7,401.0,5.66,6.45,70.0,70,osm,48.8903,12.97228
7.725,402.5,5.81,8.04,70.0,70,osm,48.89033,12.97262
7.75,404.0,5.98,9.8,70.0,70,osm,48.89037,12.97295
7.775,405.5,6.16,12.99,70.0,70,osm,48.89042,12.97329
7.8,407.0,6.34,10.74,70.0,70,osm,48.89048,12.97362
7.825,408.6,6.53,11.52,70.0,70,stvo,48.89055,12.97394
7.85,410.2,6.71,11.21,70.0,70,osm,48.89064,12.97425
7.875,411.9,6.87,11.09,70.0,70,osm,48.89073,12.97457
7.9,413.6,7.04,9.05,70.0,70,osm,48.89083,12.97487
7.925,415.4,7.22,10.4,70.0,70,osm,48.89095,12.97517
7.95,417.3,7.4,12.27,70.0,70,osm,48.89107,12.97546
7.975,419.2,7.56,10.99,70.0,70,osm,48.8912,12.97574
8.0,421.1,7.7,11.08,70.0,70,osm,48.89133,12.97601
8.025,423.1,7.81,11.42,70.0,70,osm,48.89148,12.97626
8.05,425.1,7.89,11.88,70.0,70,osm,48.89164,12.97651
8.075,427.2,7.94,11.7,70.0,70,osm,48.8918,12.97675
8.1,429.2,7.98,12.57,70.0,70,osm,48.89197,12.97697
8.125,431.3,8.0,12.73,70.0,70,osm,48.89215,12.97718
8.15,433.3,8.01,10.8,70.0,70,osm,48.89233,12.97737
8.175,435.3,8.0,11.21,70.0,70,osm,48.89253,12.97754
8.2,437.3,7.97,9.53,70.0,70,osm,48.89273,12.9777
8.225,439.2,7.91,7.24,70.0,70,osm,48.89293,12.97786
8.25,441.2,7.83,7.92,70.0,70,osm,48.89313,12.978
8.275,443.2,7.73,7.41,70.0,70,osm,48.89334,12.97813
8.3,445.2,7.6,7.28,70.0,70,osm,48.89355,12.97825
8.325,447.1,7.47,7.97,70.0,70,osm,48.89376,12.97835
8.35,449.0,7.31,9.36,70.0,70,osm,48.89398,12.97846
