dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
11.75,509.9,1.26,3.06,88.0,100,osm,48.92415,12.98046
11.775,510.1,1.37,4.09,88.0,100,osm,48.92437,12.98043
11.8,510.3,1.44,6.61,88.0,100,osm,48.92459,12.9804
11.825,510.6,1.48,8.26,88.0,100,osm,48.92482,12.98039
11.85,511.0,1.51,10.19,88.0,100,osm,48.92504,12.98039
11.875,511.4,1.56,10.82,88.0,100,osm,48.92527,12.9804
11.9,511.8,1.66,13.82,88.0,100,osm,48.92549,12.98043
11.925,512.2,1.79,11.26,88.0,100,osm,48.92571,12.98048
11.95,512.7,1.94,9.47,88.0,100,osm,48.92593,12.98055
11.975,513.2,2.11,8.18,88.0,100,stvo,48.92615,12.98065
12.0,513.7,2.23,6.62,88.0,100,stvo,48.92636,12.98075
12.025,514.2,2.29,2.59,88.0,100,osm,48.92658,12.98084
12.05,514.9,2.3,2.6,88.0,100,osm,48.92679,12.98095
12.075,515.5,2.29,2.6,88.0,100,osm,48.927,12.98107
12.1,516.2,2.29,0.99,88.0,100,osm,48.92722,12.98119
12.125,516.9,2.28,1.73,88.0,100,osm,48.92743,12.9813
12.15,517.6,2.26,8.25,88.0,100,osm,48.92764,12.98142
12.175,518.2,2.24,8.94,88.0,100,osm,48.92785,12.98154
12.2,518.7,2.22,13.57,88.0,100,osm,48.92806,12.98164
12.225,519.1,2.22,13.67,88.0,100,osm,48.92828,12.9817
12.25,519.6,2.22,16.09,88.0,100,osm,48.92851,12.98175
12.275,520.0,2.21,12.76,88.0,100,osm,48.92873,12.98177
12.3,520.4,2.26,15.27,88.0,100,osm,48.92896,12.98179
12.325,521.0,2.35,11.73,88.0,100,osm,48.92918,12.98177
12.35,521.5,2.5,12.04,88.0,100,osm,48.9294,12.98174
12.375,522.1,2.68,8.3,88.0,100,osm,48.92962,12.98167
12.4,522.8,2.88,6.11,88.0,100,osm,48.92985,12.98161
