dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,lat,lon
4.225,340.1,0.63,13.0,88.0,100,48.86237,12.95837
4.25,340.2,0.63,13.14,88.0,100,48.86259,12.95835
4.275,340.4,0.63,12.41,88.0,100,48.86282,12.95836
4.3,340.6,0.63,12.41,88.0,100,48.86304,12.95839
4.325,340.7,0.63,9.13,88.0,100,48.86327,12.95843
4.35,340.9,0.63,7.3,88.0,100,48.86349,12.9585
4.375,341.0,0.63,5.0,88.0,100,48.86371,12.95857
4.4,341.2,0.63,4.26,88.0,100,48.86393,12.95865
4.425,341.4,0.63,4.56,88.0,100,48.86414,12.95873
4.45,341.5,0.63,7.65,88.0,100,48.86436,12.95881
4.475,341.7,0.63,8.94,88.0,100,48.86458,12.95887
4.5,341.8,0.63,12.16,88.0,100,48.8648,12.95893
4.525,342.0,0.63,11.27,88.0,100,48.86503,12.95895
4.55,342.1,0.63,13.7,88.0,100,48.86525,12.95897
4.575,342.3,0.63,13.66,88.0,100,48.86548,12.95896
4.6,342.5,0.63,12.8,88.0,100,48.8657,12.95894
4.625,342.6,0.63,11.31,88.0,100,48.86593,12.95889
4.65,342.8,0.63,9.52,88.0,100,48.86615,12.95882
4.675,342.9,0.64,7.34,88.0,100,48.86636,12.95874
4.7,343.1,0.66,5.43,88.0,100,48.86658,12.95865
4.725,343.3,0.68,4.33,88.0,100,48.8668,12.95856
4.75,343.4,0.71,4.34,88.0,100,48.86701,12.95847
4.775,343.6,0.75,8.33,88.0,100,48.86723,12.95839
4.8,343.8,0.8,13.35,88.0,100,48.86745,12.95832
4.825,344.0,0.85,12.01,88.0,100,48.86767,12.95826
4.85,344.2,0.92,13.73,88.0,100,48.8679,12.95822
4.875,344.5,0.99,14.29,88.0,100,48.86812,12.95823
4.9,344.7,1.06,11.47,88.0,100,48.86835,12.95825
4.925,345.0,1.13,7.27,88.0,100,48.86857,12.95827
4.95,345.3,1.2,6.63,88.0,100,48.86879,12.95832
4.975,345.6,1.27,4.91,88.0,100,48.86901,12.95837
5.0,346.0,1.34,3.96,88.0,100,48.86924,12.95843
5.025,346.3,1.41,4.1,88.0,100,48.86946,12.9585
5.05,346.7,1.49,2.72,88.0,100,48.86968,12.95856
5.075,347.1,1.56,2.72,88.0,100,48.8699,12.95863
5.1,347.5,1.63,2.72,88.0,100,48.87012,12.95872
5.125,347.9,1.7,1.38,88.0,100,48.87033,12.9588
5.15,348.4,1.77,0.0,88.0,100,48.87055,12.95888
5.175,348.8,1.84,0.0,88.0,100,48.87077,12.95897
5.2,349.3,1.9,0.0,88.0,100,48.87099,12.95905
5.225,349.8,1.96,1.97,88.0,100,48.87121,12.95913
5.25,350.3,2.01,5.89,88.0,100,48.87142,12.95922
5.275,350.8,2.05,11.53,88.0,100,48.87164,12.9593
5.3,351.4,2.08,18.97,88.0,100,48.87186,12.9594
5.325,351.9,2.1,21.11,88.0,100,48.87207,12.95952
5.35,352.4,2.12,19.52,88.0,100,48.87226,12.95968
5.375,353.0,2.13,16.48,88.0,100,48.87244,12.95989
5.4,353.5,2.13,13.65,88.0,100,48.87262,12.96009
5.425,354.0,2.12,7.41,88.0,100,48.87281,12.96029
5.45,354.6,2.13,10.46,88.0,100,48.87299,12.96049
5.475,355.1,2.12,12.34,88.0,100,48.87318,12.96068
5.5,355.6,2.13,14.49,88.0,100,48.87337,12.96086
5.525,356.2,2.13,15.61,88.0,100,48.87357,12.961
5.55,356.7,2.12,14.79,88.0,100,48.87378,12.96113
5.575,357.2,2.13,10.8,88.0,100,48.87399,12.96124
